,logFC
AKT1,0.428739987114578
AKT2,-0.0631191719342655
AKT3,0.0488190277902925
ARNT,-0.114753857227894
CAMK2D,-0.30847080795687
CAMK2G,-0.163864162243682
CREBBP,0.65194019083966
EGFR,0.103825393461685
EGLN1,1.92939938454615
EGLN2,-0.161140794160718
EGLN3,5.05301865753839
EIF4EBP1,0.967348618900715
EP300,0.391060823490299
ERBB2,-0.28672973732718
HIF1A,6.50627090432112
IFNGR1,-0.181448604490712
IFNGR2,0.18286008294844
IGF1R,0.448778575690439
IL6,-0.70830398754448
IL6R,-1.50563867645078
INSR,0.674046933536959
MAP2K1,1.17730231860555
MAP2K2,0.0247641248883502
MAPK1,0.00985135615810729
MAPK3,0.179746435117018
MKNK1,0.0121437317218884
MKNK2,0.553836197742337
MTOR,-0.228474100246257
NFKB1,-0.185399169119062
PDK1,1.46627726645854
PIK3CA,0.0533681930090441
PIK3CB,0.16849306693443
PIK3CD,0.484495320343132
PIK3R1,-0.210311780530827
PIK3R2,-0.341298939097259
PIK3R3,-0.916983189856477
PLCG1,-0.375928495099701
PLCG2,-0.17151793230683
PRKCA,0.213645461682166
RBX1,0.17877893048377
RELA,0.240784102225657
RPS6KB1,-0.0416037441273024
RPS6KB2,0.171308720223386
STAT3,0.100494148053845
TLR4,-0.0703203887951907
VHL,-0.323994383734775
ALDOA,1.40137111646449
ALDOC,4.0278663512943
ANGPT1,-0.535521146896978
ANGPT2,-0.697692971227009
BCL2,-1.03788869602161
CDKN1A,-0.276947876052562
CDKN1B,0.208709850843049
EDN1,-0.107771464085357
ENO1,1.18557035442774
ENO2,4.11532249736183
FLT1,-0.195781092092266
GAPDH,2.10045161467087
HK1,0.594744210424428
HK2,1.73926638319212
HMOX1,-1.58760711737065
LDHA,1.6216734340641
LDHB,-0.299149506042022
LTBR,-0.404305060481032
NOS3,-0.240341585153357
PFKFB3,1.55258106849067
PFKL,1.53203193826579
PFKM,-0.307140765216878
PFKP,0.93644012757251
PGK1,2.37441347018578
SERPINE1,0.693461305424715
SLC2A1,3.52831564426767
TEK,0.0376039385819475
TFRC,0.451201688494068
TIMP1,0.122134710839613
VEGFA,2.39042726095219
EIF4E,-0.32628444792052
EIF4E2,-0.13313784303492
PDHA1,-0.306768680532186
PDHB,-0.0891543039104502
RPS6,0.265790567716473
